seed,d,evals,objective,method,best_loss,evals_to_threshold,experiment,grid_size
0,1,544,double_well,qwo,-0.6013997178488166,64,01_double_well,64
0,1,304,double_well,random_search,-0.5999503782163399,16,01_double_well,64
0,1,304,double_well,grid_search,-0.5771355556583934,11,01_double_well,64
0,1,304,double_well,simulated_annealing,0.5986119788169841,,01_double_well,64
0,1,304,double_well,spsa,0.5986005007340586,,01_double_well,64
0,1,5,double_well,scipy_minimize,-0.6013997192306034,2,01_double_well,64
1,1,542,double_well,qwo,-0.6013997149523856,64,01_double_well,64
1,1,304,double_well,random_search,-0.6011835991169585,29,01_double_well,64
1,1,304,double_well,grid_search,-0.5771355556583934,11,01_double_well,64
1,1,304,double_well,simulated_annealing,0.5986156594498924,,01_double_well,64
1,1,304,double_well,spsa,0.5986005007340587,,01_double_well,64
1,1,5,double_well,scipy_minimize,-0.6013997192502587,3,01_double_well,64
0,1,630,rugged_sinusoid,qwo,-1.016388737084147,160,02_rugged_sinusoid,64
0,1,352,rugged_sinusoid,random_search,-1.0094086146272008,71,02_rugged_sinusoid,64
0,1,352,rugged_sinusoid,grid_search,-0.9982573935634516,,02_rugged_sinusoid,64
0,1,352,rugged_sinusoid,simulated_annealing,-1.0156498325874646,2,02_rugged_sinusoid,64
0,1,352,rugged_sinusoid,spsa,-1.0163301046308364,,02_rugged_sinusoid,64
0,1,5,rugged_sinusoid,scipy_minimize,-1.0163887460861565,1,02_rugged_sinusoid,64
1,1,631,rugged_sinusoid,qwo,-1.0163887069679876,345,02_rugged_sinusoid,64
1,1,352,rugged_sinusoid,random_search,-1.0160806046887707,98,02_rugged_sinusoid,64
1,1,352,rugged_sinusoid,grid_search,-0.9982573935634516,,02_rugged_sinusoid,64
1,1,352,rugged_sinusoid,simulated_annealing,-0.9640005520476789,,02_rugged_sinusoid,64
1,1,352,rugged_sinusoid,spsa,-0.9637309351338854,,02_rugged_sinusoid,64
1,1,5,rugged_sinusoid,scipy_minimize,-0.9640833249322909,,02_rugged_sinusoid,64
0,2,1593,rastrigin_2d,qwo,4.891874231227687,,03_rastrigin_2d,1024
0,2,1312,rastrigin_2d,random_search,0.24080178732828728,893,03_rastrigin_2d,1024
0,2,1312,rastrigin_2d,grid_search,9.891179225372387,,03_rastrigin_2d,1024
0,2,1312,rastrigin_2d,simulated_annealing,4.980323190890537,,03_rastrigin_2d,1024
0,2,1312,rastrigin_2d,spsa,0.9949599333585262,775,03_rastrigin_2d,1024
0,2,5,rastrigin_2d,scipy_minimize,4.9747902478455845,,03_rastrigin_2d,1024
1,2,1589,rastrigin_2d,qwo,1.0131311276452095,1589,03_rastrigin_2d,1024
1,2,1312,rastrigin_2d,random_search,1.0383354777095875,264,03_rastrigin_2d,1024
1,2,1312,rastrigin_2d,grid_search,9.891179225372387,,03_rastrigin_2d,1024
1,2,1312,rastrigin_2d,simulated_annealing,15.925619535892608,,03_rastrigin_2d,1024
1,2,1312,rastrigin_2d,spsa,4.450524531211556,,03_rastrigin_2d,1024
1,2,5,rastrigin_2d,scipy_minimize,4.974790251245945,,03_rastrigin_2d,1024
0,2,1580,ackley_2d,qwo,0.12988741262602277,1292,04_ackley_2d,1024
0,2,1312,ackley_2d,random_search,0.1269843311722494,526,04_ackley_2d,1024
0,2,1312,ackley_2d,grid_search,1.6559751418935105,,04_ackley_2d,1024
0,2,1312,ackley_2d,simulated_annealing,0.021013171341458747,137,04_ackley_2d,1024
0,2,1312,ackley_2d,spsa,5.382087482516706,,04_ackley_2d,1024
0,2,5,ackley_2d,scipy_minimize,1.2804379100561647e-05,5,04_ackley_2d,1024
1,2,1579,ackley_2d,qwo,0.12988741262602277,1300,04_ackley_2d,1024
1,2,1312,ackley_2d,random_search,0.4880745291306643,1020,04_ackley_2d,1024
1,2,1312,ackley_2d,grid_search,1.6559751418935105,,04_ackley_2d,1024
1,2,1312,ackley_2d,simulated_annealing,0.0405063384915576,87,04_ackley_2d,1024
1,2,1312,ackley_2d,spsa,8.616384712650667,,04_ackley_2d,1024
1,2,5,ackley_2d,scipy_minimize,5.381864187846347,,04_ackley_2d,1024
0,2,1589,rosenbrock,qwo,0.0011488639673597103,1024,05_rosenbrock,1024
0,2,1312,rosenbrock,random_search,0.008264305337699628,16,05_rosenbrock,1024
0,2,1312,rosenbrock,grid_search,0.0011488639673597103,521,05_rosenbrock,1024
0,2,1312,rosenbrock,simulated_annealing,0.0012383632861338674,3,05_rosenbrock,1024
0,2,1312,rosenbrock,spsa,0.206714966073914,5,05_rosenbrock,1024
0,2,5,rosenbrock,scipy_minimize,2.580417478677642e-12,1,05_rosenbrock,1024
1,2,1586,rosenbrock,qwo,0.0011488639673597103,1024,05_rosenbrock,1024
1,2,1312,rosenbrock,random_search,0.10197511781710461,96,05_rosenbrock,1024
1,2,1312,rosenbrock,grid_search,0.0011488639673597103,521,05_rosenbrock,1024
1,2,1312,rosenbrock,simulated_annealing,0.00023652130335899966,21,05_rosenbrock,1024
1,2,1312,rosenbrock,spsa,0.1823417378146618,343,05_rosenbrock,1024
1,2,5,rosenbrock,scipy_minimize,3.5861527683832114e-12,1,05_rosenbrock,1024
0,2,1489,himmelblau,qwo,0.006014006436020127,1024,06_himmelblau,1024
0,2,1264,himmelblau,random_search,0.5439137174052958,119,06_himmelblau,1024
0,2,1264,himmelblau,grid_search,0.2970912410221295,134,06_himmelblau,1024
0,2,1264,himmelblau,simulated_annealing,0.00017851390080999945,24,06_himmelblau,1024
0,2,1264,himmelblau,spsa,1.482731585970916e-05,58,06_himmelblau,1024
0,2,5,himmelblau,scipy_minimize,1.1856646613081867e-10,1,06_himmelblau,1024
1,2,1485,himmelblau,qwo,0.0026364885005288555,1024,06_himmelblau,1024
1,2,1264,himmelblau,random_search,0.015805326674713776,250,06_himmelblau,1024
1,2,1264,himmelblau,grid_search,0.2970912410221295,134,06_himmelblau,1024
1,2,1264,himmelblau,simulated_annealing,0.00571665357273387,57,06_himmelblau,1024
1,2,1264,himmelblau,spsa,1.484945953026079e-05,61,06_himmelblau,1024
1,2,5,himmelblau,scipy_minimize,1.553797851413589e-10,1,06_himmelblau,1024
0,4,4548,rastrigin_4d,qwo,30.43581962362844,,07_rastrigin_4d,4096
0,4,4336,rastrigin_4d,random_search,11.028732216062714,,07_rastrigin_4d,4096
0,4,4336,rastrigin_4d,grid_search,45.54127287750808,,07_rastrigin_4d,4096
0,4,4336,rastrigin_4d,simulated_annealing,23.52708579597677,,07_rastrigin_4d,4096
0,4,4336,rastrigin_4d,spsa,5.969751896846155,2265,07_rastrigin_4d,4096
0,4,5,rastrigin_4d,scipy_minimize,20.894034047418472,,07_rastrigin_4d,4096
1,4,4545,rastrigin_4d,qwo,16.79916319404512,,07_rastrigin_4d,4096
1,4,4336,rastrigin_4d,random_search,12.109181298096129,,07_rastrigin_4d,4096
1,4,4336,rastrigin_4d,grid_search,45.54127287750808,,07_rastrigin_4d,4096
1,4,4336,rastrigin_4d,simulated_annealing,34.30389107282672,,07_rastrigin_4d,4096
1,4,4336,rastrigin_4d,spsa,13.929394673253068,,07_rastrigin_4d,4096
1,4,5,rastrigin_4d,scipy_minimize,14.92435055111386,,07_rastrigin_4d,4096
0,4,4560,ackley_4d,qwo,3.4511095047692355,,08_ackley_4d,4096
0,4,4336,ackley_4d,random_search,2.655184630043348,2306,08_ackley_4d,4096
0,4,4336,ackley_4d,grid_search,4.580225584475961,,08_ackley_4d,4096
0,4,4336,ackley_4d,simulated_annealing,0.13506842334940616,138,08_ackley_4d,4096
0,4,4336,ackley_4d,spsa,9.830421372295909,,08_ackley_4d,4096
0,4,5,ackley_4d,scipy_minimize,7.322039591958525,,08_ackley_4d,4096
1,4,4545,ackley_4d,qwo,3.4511095047692355,,08_ackley_4d,4096
1,4,4336,ackley_4d,random_search,2.589302610980479,87,08_ackley_4d,4096
1,4,4336,ackley_4d,grid_search,4.580225584475961,,08_ackley_4d,4096
1,4,4336,ackley_4d,simulated_annealing,0.21437076671118804,313,08_ackley_4d,4096
1,4,4336,ackley_4d,spsa,9.436599814775601,,08_ackley_4d,4096
1,4,5,ackley_4d,scipy_minimize,1.839993476169607,3,08_ackley_4d,4096
0,2,1498,two_moons_logreg,qwo,0.32414554296383724,,09_two_moons_logreg,1024
0,2,1264,two_moons_logreg,random_search,0.3255056496225233,,09_two_moons_logreg,1024
0,2,1264,two_moons_logreg,grid_search,0.3244608351131463,,09_two_moons_logreg,1024
0,2,1264,two_moons_logreg,simulated_annealing,0.3240743070517901,,09_two_moons_logreg,1024
0,2,1264,two_moons_logreg,spsa,0.33740590215860194,,09_two_moons_logreg,1024
0,2,5,two_moons_logreg,scipy_minimize,0.32406978109985163,,09_two_moons_logreg,1024
1,2,1500,two_moons_logreg,qwo,0.3240740223027091,,09_two_moons_logreg,1024
1,2,1264,two_moons_logreg,random_search,0.3243807454941234,,09_two_moons_logreg,1024
1,2,1264,two_moons_logreg,grid_search,0.3244608351131463,,09_two_moons_logreg,1024
1,2,1264,two_moons_logreg,simulated_annealing,0.3240863362802142,,09_two_moons_logreg,1024
1,2,1264,two_moons_logreg,spsa,1.8662554803284463,,09_two_moons_logreg,1024
1,2,5,two_moons_logreg,scipy_minimize,0.32406978109977747,,09_two_moons_logreg,1024
0,2,1500,circles_logreg,qwo,0.6953851638518915,,10_circles_logreg,1024
0,2,1264,circles_logreg,random_search,0.693288417288977,,10_circles_logreg,1024
0,2,1264,circles_logreg,grid_search,0.6953851638518915,,10_circles_logreg,1024
0,2,1264,circles_logreg,simulated_annealing,0.6931232652268803,,10_circles_logreg,1024
0,2,1264,circles_logreg,spsa,0.9315025360493279,,10_circles_logreg,1024
0,2,5,circles_logreg,scipy_minimize,0.6930958189434201,,10_circles_logreg,1024
1,2,1491,circles_logreg,qwo,0.6937528796516959,,10_circles_logreg,1024
1,2,1264,circles_logreg,random_search,0.6937791608951343,,10_circles_logreg,1024
1,2,1264,circles_logreg,grid_search,0.6953851638518915,,10_circles_logreg,1024
1,2,1264,circles_logreg,simulated_annealing,0.6931062766343996,,10_circles_logreg,1024
1,2,1264,circles_logreg,spsa,1.3056987986168962,,10_circles_logreg,1024
1,2,5,circles_logreg,scipy_minimize,0.6930958189434533,,10_circles_logreg,1024
0,2,1498,fourier_regression,qwo,0.0026454647965819876,1024,11_fourier_regression,1024
0,2,1264,fourier_regression,random_search,0.0032270062956416454,16,11_fourier_regression,1024
0,2,1264,fourier_regression,grid_search,0.0035904435475972766,651,11_fourier_regression,1024
0,2,1264,fourier_regression,simulated_annealing,0.0025781857483190857,2,11_fourier_regression,1024
0,2,1264,fourier_regression,spsa,0.002719979136696077,2,11_fourier_regression,1024
0,2,5,fourier_regression,scipy_minimize,0.002474975998731143,1,11_fourier_regression,1024
1,2,1499,fourier_regression,qwo,0.0024992369754857943,1024,11_fourier_regression,1024
1,2,1264,fourier_regression,random_search,0.010205101840903683,62,11_fourier_regression,1024
1,2,1264,fourier_regression,grid_search,0.0035904435475972766,651,11_fourier_regression,1024
1,2,1264,fourier_regression,simulated_annealing,0.002503631034372492,42,11_fourier_regression,1024
1,2,1264,fourier_regression,spsa,0.014623995117674243,579,11_fourier_regression,1024
1,2,5,fourier_regression,scipy_minimize,0.002474976001160929,1,11_fourier_regression,1024
0,2,1662,noisy_quadratic,qwo,-1.4764647274908507,1143,12_noisy_quadratic,1024
0,2,1264,noisy_quadratic,random_search,-1.0908332115264618,13,12_noisy_quadratic,1024
0,2,1264,noisy_quadratic,grid_search,-0.9100387183417172,273,12_noisy_quadratic,1024
0,2,1264,noisy_quadratic,simulated_annealing,-1.5511935992647272,27,12_noisy_quadratic,1024
0,2,1264,noisy_quadratic,spsa,-1.2594141080195969,3,12_noisy_quadratic,1024
0,2,5,noisy_quadratic,scipy_minimize,-0.3851996722848239,1,12_noisy_quadratic,1024
1,2,1672,noisy_quadratic,qwo,-1.4079065054084425,1160,12_noisy_quadratic,1024
1,2,1264,noisy_quadratic,random_search,-1.2194960900094278,59,12_noisy_quadratic,1024
1,2,1264,noisy_quadratic,grid_search,-0.7900778493938105,275,12_noisy_quadratic,1024
1,2,1264,noisy_quadratic,simulated_annealing,-1.7752470134682763,43,12_noisy_quadratic,1024
1,2,1264,noisy_quadratic,spsa,-1.421213986747711,126,12_noisy_quadratic,1024
1,2,5,noisy_quadratic,scipy_minimize,-0.5907633270201023,3,12_noisy_quadratic,1024
0,2,2076,sparse_reward,qwo,0.0,1024,13_sparse_reward,1024
0,2,1312,sparse_reward,random_search,0.0,12,13_sparse_reward,1024
0,2,1312,sparse_reward,grid_search,0.0,661,13_sparse_reward,1024
0,2,1312,sparse_reward,simulated_annealing,0.0,572,13_sparse_reward,1024
0,2,1312,sparse_reward,spsa,1.0,,13_sparse_reward,1024
0,2,5,sparse_reward,scipy_minimize,1.0,,13_sparse_reward,1024
1,2,2084,sparse_reward,qwo,0.0,1024,13_sparse_reward,1024
1,2,1312,sparse_reward,random_search,0.0,145,13_sparse_reward,1024
1,2,1312,sparse_reward,grid_search,0.0,661,13_sparse_reward,1024
1,2,1312,sparse_reward,simulated_annealing,0.0,223,13_sparse_reward,1024
1,2,1312,sparse_reward,spsa,1.0,,13_sparse_reward,1024
1,2,5,sparse_reward,scipy_minimize,1.0,,13_sparse_reward,1024
0,2,1592,wide_vs_narrow,qwo,-0.4989440562723324,1024,14_wide_vs_narrow,1024
0,2,1312,wide_vs_narrow,random_search,-0.3818075775533013,453,14_wide_vs_narrow,1024
0,2,1312,wide_vs_narrow,grid_search,-0.4594477099516029,760,14_wide_vs_narrow,1024
0,2,1312,wide_vs_narrow,simulated_annealing,2.7347525463627953e-05,,14_wide_vs_narrow,1024
0,2,1312,wide_vs_narrow,spsa,0.43644238296524057,,14_wide_vs_narrow,1024
0,2,5,wide_vs_narrow,scipy_minimize,-0.5001677424887858,3,14_wide_vs_narrow,1024
1,2,1583,wide_vs_narrow,qwo,-0.4983637272309791,1024,14_wide_vs_narrow,1024
1,2,1312,wide_vs_narrow,random_search,-0.45322375357224454,416,14_wide_vs_narrow,1024
1,2,1312,wide_vs_narrow,grid_search,-0.4594477099516029,760,14_wide_vs_narrow,1024
1,2,1312,wide_vs_narrow,simulated_annealing,7.684288312848064e-05,,14_wide_vs_narrow,1024
1,2,1312,wide_vs_narrow,spsa,0.49993483895460405,,14_wide_vs_narrow,1024
1,2,5,wide_vs_narrow,scipy_minimize,2.672306820272752e-13,,14_wide_vs_narrow,1024
0,2,1594,rastrigin_2d,qwo,1.0131311276452237,1499,15_qwo_no_mixer,1024
0,2,1312,rastrigin_2d,random_search,0.24080178732828728,893,15_qwo_no_mixer,1024
0,2,1312,rastrigin_2d,grid_search,9.891179225372387,,15_qwo_no_mixer,1024
0,2,1312,rastrigin_2d,simulated_annealing,4.980323190890537,,15_qwo_no_mixer,1024
0,2,1312,rastrigin_2d,spsa,0.9949599333585262,775,15_qwo_no_mixer,1024
0,2,5,rastrigin_2d,scipy_minimize,4.9747902478455845,,15_qwo_no_mixer,1024
1,2,1597,rastrigin_2d,qwo,0.14219272903650193,1121,15_qwo_no_mixer,1024
1,2,1312,rastrigin_2d,random_search,1.0383354777095875,264,15_qwo_no_mixer,1024
1,2,1312,rastrigin_2d,grid_search,9.891179225372387,,15_qwo_no_mixer,1024
1,2,1312,rastrigin_2d,simulated_annealing,15.925619535892608,,15_qwo_no_mixer,1024
1,2,1312,rastrigin_2d,spsa,4.450524531211556,,15_qwo_no_mixer,1024
1,2,5,rastrigin_2d,scipy_minimize,4.974790251245945,,15_qwo_no_mixer,1024
0,2,1594,rastrigin_2d,qwo,1.0131311276452237,1499,16_qwo_no_phase,1024
0,2,1312,rastrigin_2d,random_search,0.24080178732828728,893,16_qwo_no_phase,1024
0,2,1312,rastrigin_2d,grid_search,9.891179225372387,,16_qwo_no_phase,1024
0,2,1312,rastrigin_2d,simulated_annealing,4.980323190890537,,16_qwo_no_phase,1024
0,2,1312,rastrigin_2d,spsa,0.9949599333585262,775,16_qwo_no_phase,1024
0,2,5,rastrigin_2d,scipy_minimize,4.9747902478455845,,16_qwo_no_phase,1024
1,2,1597,rastrigin_2d,qwo,0.14219272903650193,1121,16_qwo_no_phase,1024
1,2,1312,rastrigin_2d,random_search,1.0383354777095875,264,16_qwo_no_phase,1024
1,2,1312,rastrigin_2d,grid_search,9.891179225372387,,16_qwo_no_phase,1024
1,2,1312,rastrigin_2d,simulated_annealing,15.925619535892608,,16_qwo_no_phase,1024
1,2,1312,rastrigin_2d,spsa,4.450524531211556,,16_qwo_no_phase,1024
1,2,5,rastrigin_2d,scipy_minimize,4.974790251245945,,16_qwo_no_phase,1024
0,2,1593,rosenbrock,qwo,0.0005888735796522742,1024,17_qwo_with_zz,1024
