experiment,method,best_classical,qwo_mean,best_classical_mean,qwo_evals_mean,best_classical_evals_mean,mean,std,n
01_double_well,qwo,,,,,,-0.6013997164006011,2.0480859899864825e-09,2
01_double_well,classical_random_search,,,,,,-0.6005669886666491,0.0008720188615284038,2
01_double_well,classical_grid_search,,,,,,-0.5771355556583934,0.0,2
01_double_well,classical_simulated_annealing,,,,,,0.5986138191334383,2.6026004884690194e-06,2
01_double_well,classical_spsa,,,,,,0.5986005007340587,1.1102230246251565e-16,2
01_double_well,classical_scipy_minimize,,,,,,-0.601399719240431,1.3898379939867558e-11,2
01_double_well,OPTIMIZATION_SIGNAL,scipy_minimize,-0.6013997164006011,-0.601399719240431,,,-2.839829926770676e-09,,2
01_double_well,EVALS_SAVED,scipy_minimize,,,64.0,2.5,-61.5,,2
02_rugged_sinusoid,qwo,,,,,,-1.0163887220260672,2.1295340495520398e-08,2
02_rugged_sinusoid,classical_random_search,,,,,,-1.0127446096579857,0.00471780941654535,2
02_rugged_sinusoid,classical_grid_search,,,,,,-0.9982573935634516,0.0,2
02_rugged_sinusoid,classical_simulated_annealing,,,,,,-0.9898251923175717,0.03652155651308884,2
02_rugged_sinusoid,classical_spsa,,,,,,-0.9900305198823609,0.03719322943607464,2
02_rugged_sinusoid,classical_scipy_minimize,,,,,,-0.9902360355092237,0.036985517990716664,2
02_rugged_sinusoid,OPTIMIZATION_SIGNAL,random_search,-1.0163887220260672,-1.0127446096579857,,,0.003644112368081487,,2
02_rugged_sinusoid,EVALS_SAVED,scipy_minimize,,,252.5,1.0,-159.0,,1
03_rastrigin_2d,qwo,,,,,,2.9525026794364484,2.742685551023725,2
03_rastrigin_2d,classical_random_search,,,,,,0.6395686325189374,0.5639414806933497,2
03_rastrigin_2d,classical_grid_search,,,,,,9.891179225372387,0.0,2
03_rastrigin_2d,classical_simulated_annealing,,,,,,10.452971363391573,7.739493267647298,2
03_rastrigin_2d,classical_spsa,,,,,,2.722742232285041,2.4434531599700424,2
03_rastrigin_2d,classical_scipy_minimize,,,,,,4.974790249545765,2.4044182379708952e-09,2
03_rastrigin_2d,OPTIMIZATION_SIGNAL,random_search,2.9525026794364484,0.6395686325189374,,,-2.312934046917511,,2
03_rastrigin_2d,EVALS_SAVED,random_search,,,1589.0,578.5,-1010.5,,1
04_ackley_2d,qwo,,,,,,0.12988741262602277,0.0,2
04_ackley_2d,classical_random_search,,,,,,0.30752943015145684,0.255329327596388,2
04_ackley_2d,classical_grid_search,,,,,,1.6559751418935105,0.0,2
04_ackley_2d,classical_simulated_annealing,,,,,,0.030759754916508175,0.013783750678637748,2
04_ackley_2d,classical_spsa,,,,,,6.999236097583687,2.2869935038005917,2
04_ackley_2d,classical_scipy_minimize,,,,,,2.6909384961127234,3.805543608587892,2
04_ackley_2d,OPTIMIZATION_SIGNAL,simulated_annealing,0.12988741262602277,0.030759754916508175,,,-0.0991276577095146,,2
04_ackley_2d,EVALS_SAVED,scipy_minimize,,,1296.0,5.0,-1287.0,,1
05_rosenbrock,qwo,,,,,,0.0011488639673597103,0.0,2
05_rosenbrock,classical_random_search,,,,,,0.05511971157740212,0.06626355097468821,2
05_rosenbrock,classical_grid_search,,,,,,0.0011488639673597103,0.0,2
05_rosenbrock,classical_simulated_annealing,,,,,,0.0007374422947464335,0.0007084092596974853,2
05_rosenbrock,classical_spsa,,,,,,0.1945283519442879,0.017234474981524844,2
05_rosenbrock,classical_scipy_minimize,,,,,,3.0832851235304267e-12,7.111622434294252e-13,2
05_rosenbrock,OPTIMIZATION_SIGNAL,scipy_minimize,0.0011488639673597103,3.0832851235304267e-12,,,-0.0011488639642764252,,2
05_rosenbrock,EVALS_SAVED,scipy_minimize,,,1024.0,1.0,-1023.0,,2
06_himmelblau,qwo,,,,,,0.004325247468274491,0.002388265835765066,2
06_himmelblau,classical_random_search,,,,,,0.2798595220400048,0.37342902428710945,2
06_himmelblau,classical_grid_search,,,,,,0.2970912410221295,0.0,2
06_himmelblau,classical_simulated_annealing,,,,,,0.002947583736771935,0.003916056117175611,2
06_himmelblau,classical_spsa,,,,,,1.4838387694984975e-05,1.5657939607418865e-08,2
06_himmelblau,classical_scipy_minimize,,,,,,1.3697312563608877e-10,2.603094751033664e-11,2
